passengers_num,numSecurity,numAllPass,numShengen,max_time,avg_time
10,1,3,20,111.11374718722942,81.01027897858532
50,1,3,20,361.8226007422382,288.3281414574089
100,1,3,20,659.0409421781624,571.4758248285544
200,1,3,20,1136.3682648773215,1028.0911204792612
300,1,3,20,1661.7172631624362,1544.3076875176007
500,1,3,20,2888.50701351475,2759.9203690129725
750,1,3,20,4134.647384111294,3987.234308435564
10,3,3,20,113.63217277695784,67.86471790063015
50,3,3,20,160.31855110849224,126.87865016762423
100,3,3,20,260.16827512829593,219.93205493291492
200,3,3,20,466.9387660548746,419.9839700111317
300,3,3,20,596.5086970099304,532.6040447382913
500,3,3,20,998.5062373188113,913.8480862419362
750,3,3,20,1510.0487980088255,1425.8315188737333
10,6,3,20,58.33930720910941,46.90703662924662
50,6,3,20,129.49557888153208,88.92577198304198
100,6,3,20,166.26985568333583,136.62204632997413
200,6,3,20,277.39938436926514,223.87220140006986
300,6,3,20,361.85306656219575,322.7403378172869
500,6,3,20,553.2175620368179,497.244360230062
750,6,3,20,793.308890095799,734.9507556673864
10,10,3,20,70.85582654185251,47.76736280870148
50,10,3,20,112.16290568068067,78.91221755749807
100,10,3,20,138.53281755967657,99.21811854935241
200,10,3,20,181.59321958329045,155.84418832198998
300,10,3,20,252.41312062675613,214.85635835558114
500,10,3,20,372.20852580461457,329.2781094018205
750,10,3,20,519.017030624369,462.20671447366834
100,12,3,20,125.32630691820003,90.53145240778768
200,12,3,20,181.5997606714654,143.19799523950385
300,12,3,20,230.38080780374798,186.20112812269554
500,12,3,20,338.437107011184,279.7542630709119
750,12,3,20,462.01078990213125,396.30156162964465
